Matrix-K,Diamond-lambda,ITC,V,D_eq,Matrix-E,Matrix-JC-A,Matrix-JC-B,Matrix-JC-m,Interface-E,Interface-eta,Interface-t,effective-K,effective-a,CTE_list
207.5787618,354.4860485,77594.30621,0.410884468,0.224418034,70730.32013,47.0447964,105.1253332,0.348779459,411595.6422,2.314824442,0.000866815,419.2330122,1.26E-05,"[7.19462605875338e-09, 1.16581969672269e-05, 1.17422051525038e-05, 1.193970984884e-05, 1.2203031615342e-05, 1.25620701592265e-05, 1.28965984650496e-05, 1.3103656854616e-05, 1.32236469506436e-05, 1.33028929845421e-05, 1.33612123253804e-05]"
225.2807332,71.80708127,1187.127479,0.263804213,0.409680709,70594.33394,65.18132191,117.7807861,0.662050335,366576.196,2.635796938,0.000306084,237.6525653,1.62E-05,"[-6.32496039548885e-09, 1.56121836909069e-05, 1.56403401386287e-05, 1.57022583168704e-05, 1.58089488799151e-05, 1.59718347801181e-05, 1.62492672509778e-05, 1.65338675040779e-05, 1.66987432017569e-05, 1.67899079759089e-05, 1.68532327747227e-05]"
188.0488489,255.0720053,39224.31609,0.022129131,0.007351722,69888.1848,62.85369144,122.1878473,0.341531625,384907.1198,1.915102387,0.000917543,185.9876381,2.31E-05,"[-1.04305253720401e-09, 2.29916460140737e-05, 2.29918859245853e-05, 2.29923117373739e-05, 2.29940030699728e-05, 2.29992238454149e-05, 2.30133914996985e-05, 2.30323176932738e-05, 2.30439145872959e-05, 2.3050557692982e-05, 2.30556049230641e-05]"
140.8723875,395.1692782,96549.17339,0.484139412,0.968445164,69440.21288,45.61929495,133.5090798,0.206774209,243140.2387,2.435004659,0.000169442,410.516412,1.07E-05,"[6.13290132004282e-09, 1.00120050454499e-05, 1.00562652216998e-05, 1.01751708885367e-05, 1.03490914467701e-05, 1.05439991665135e-05, 1.07718696899709e-05, 1.10077716343843e-05, 1.12090593032756e-05, 1.13610953030223e-05, 1.14716548698571e-05]"
235.7282361,481.7500136,90646.72752,0.030184818,0.214387674,69401.88023,69.20715863,118.7746795,0.440771287,352779.117,1.720864313,0.000285573,245.5818502,2.27E-05,"[7.73543587369134e-09, 2.25842675652409e-05, 2.25845506679503e-05, 2.25850686768738e-05, 2.25867643768193e-05, 2.26012725975638e-05, 2.26367589354785e-05, 2.26667363058314e-05, 2.2685435561134e-05, 2.26991354660483e-05, 2.27088572073903e-05]"
174.4338536,429.3699401,11952.60009,0.077356075,0.317343041,69286.36913,41.99954146,102.8146166,0.5395126,474030.9153,2.50398511,0.000136365,196.175699,2.15E-05,"[3.35506691079832e-09, 2.1172856362539e-05, 2.11823393485552e-05, 2.12148594385084e-05, 2.13594617489424e-05, 2.14795176626447e-05, 2.15294065682434e-05, 2.1564747774823e-05, 2.15900629993389e-05, 2.16089779698835e-05, 2.16236756160704e-05]"
178.1564676,156.5009562,3794.104611,0.327930602,0.940774175,70493.42368,46.78958867,136.7566813,0.475047611,235544.4453,2.366168748,0.000472328,315.5669667,1.49E-05,"[-1.73762760825003e-09, 1.40665224382415e-05, 1.41375599065965e-05, 1.43134524970673e-05, 1.45886766298916e-05, 1.49804045155427e-05, 1.52481914748745e-05, 1.53870674075209e-05, 1.54753896547906e-05, 1.55391925542358e-05, 1.5588079241551e-05]"
153.505786,134.4563873,30792.019,0.040021262,0.444536935,70525.73456,33.01676087,117.8263463,0.276179524,273239.6884,1.81352936,0.000580942,170.347063,2.24E-05,"[-9.07888247952184e-09, 2.22065263457313e-05, 2.22090211553476e-05, 2.22257101225832e-05, 2.22858348071802e-05, 2.2331902182957e-05, 2.23586071551016e-05, 2.23767145924107e-05, 2.23898076660238e-05, 2.23998552799715e-05, 2.24078677524485e-05]"
169.5264192,287.6112822,5474.069448,0.307421452,0.517529504,70033.1459,51.50707314,112.8113849,0.381960896,400724.2929,1.824455816,0.00041439,276.2494379,1.55E-05,"[6.37539215267072e-09, 1.47175707959213e-05, 1.47767294224119e-05, 1.49060778438708e-05, 1.50878779290151e-05, 1.53933800250355e-05, 1.56971762757565e-05, 1.58769988660663e-05, 1.59858429591714e-05, 1.60630081518629e-05, 1.61224283710777e-05]"
137.8286072,108.7775571,721.2745267,0.372047596,0.793697985,69388.64271,63.26295253,129.689265,0.300068028,414637.4975,2.435875764,0.000543351,188.0942867,1.36E-05,"[1.25853871210672e-09, 1.29545740848865e-05, 1.29809472393825e-05, 1.30590839636144e-05, 1.31851003524806e-05, 1.33421479562241e-05, 1.35614489319606e-05, 1.38251667764776e-05, 1.40485374468705e-05, 1.42052001700399e-05, 1.43127165812477e-05]"
